id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
G0051	10	0.71816	0.71717	0.998595	695	0	-0.04052	0.73617	0.73545	0.994234	724	0	-0.04052
G0459	10	0.7188	0.71785	0.998595	696	0	-0.015226	0.10878	0.16514	0.994234	149	1	-0.015226
G0633	10	0.7226	0.72158	0.998595	697	0	-0.028947	0.06957	0.11774	0.994234	94	2	-0.028947
G0954	10	0.72418	0.72304	0.998595	698	0	-0.027822	0.94387	0.94403	0.994234	947	0	-0.027822
G0122	10	0.72543	0.72418	0.998595	699	0	-0.0049477	0.21124	0.23952	0.994234	224	1	-0.0049477
G0240	10	0.72574	0.72458	0.998595	700	0	0.047537	0.74943	0.74887	0.994234	738	0	0.047537
G0926	10	0.72637	0.72523	0.998595	701	0	0.043375	0.047279	0.084401	0.994234	62	2	0.043375
G0558	10	0.72761	0.72657	0.998595	702	0	0.052719	0.77363	0.77308	0.994234	766	0	0.052719
G0969	10	0.72792	0.72692	0.998595	703	0	0.045678	0.0077194	0.021005	0.994234	13	3	0.045678
G0681	10	0.72823	0.7272	0.998595	704	0	0.042157	0.37655	0.38048	0.994234	358	1	0.042157
G0118	10	0.72854	0.72746	0.998595	705	0	0.032863	0.47358	0.47476	0.994234	448	0	0.032863
G0436	10	0.73039	0.72941	0.998595	706	0	-0.040077	0.50683	0.50696	0.994234	483	0	-0.040077
G0116	10	0.7307	0.7298	0.998595	707	0	0.073543	0.49614	0.497	0.994234	473	0	0.073543
G0068	10	0.731	0.73012	0.998595	708	0	-0.059841	0.64369	0.64388	0.994234	623	0	-0.059841
G0230	10	0.73131	0.73039	0.998595	709	0	0.032354	0.53368	0.53381	0.994234	516	0	0.032354
G0244	10	0.73162	0.73066	0.998595	710	0	0.014416	0.72512	0.72391	0.994234	713	0	0.014416
G0360	10	0.73345	0.73263	0.998595	711	0	-0.034337	0.58481	0.5844	0.994234	569	0	-0.034337
G0336	10	0.73466	0.73375	0.998595	712	0	0.037497	0.72543	0.72418	0.994234	714	0	0.037497
G0055	10	0.73496	0.73412	0.998595	713	0	0.056718	0.48415	0.4849	0.994234	462	0	0.056718
G0395	10	0.73557	0.73474	0.998595	714	0	-0.078655	0.99069	0.99096	0.999995	984	0	-0.078655
G0882	10	0.73617	0.73545	0.998595	715	0	0.086063	0.65268	0.65312	0.994234	632	0	0.086063
G0114	10	0.73797	0.73709	0.998595	716	0	0.0022106	0.68307	0.68256	0.994234	664	0	0.0022106
G0936	10	0.73857	0.73773	0.998595	717	0	-0.02238	0.35464	0.35986	0.994234	337	1	-0.02238
G0134	10	0.73887	0.73808	0.998595	718	0	0.065846	0.40158	0.40524	0.994234	382	1	0.065846
G0352	10	0.74096	0.74024	0.998595	719	0	0.03633	0.67077	0.67065	0.994234	651	0	0.03633
G0265	10	0.74184	0.74121	0.998595	720	0	-0.002651	0.69563	0.69528	0.994234	676	0	-0.002651
G0024	10	0.74332	0.74273	0.998595	721	0	0.038271	0.46224	0.46418	0.994234	437	0	0.038271
G0975	10	0.74391	0.74335	0.998595	722	0	0.0064784	0.50098	0.50141	0.994234	478	0	0.0064784
G0707	10	0.7442	0.74366	0.998595	723	0	-0.016169	0.53267	0.53283	0.994234	514	0	-0.016169
G0268	10	0.74537	0.74486	0.998595	724	0	0.05185	0.90845	0.90788	0.994234	904	0	0.05185
G0671	10	0.74624	0.74576	0.998595	725	0	0.024861	0.72039	0.71945	0.994234	705	0	0.024861
