sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
G0027_264	G0027	395.77/316.51/381.99/442.71	361.17/332.74/355.96/454.71	381.5	373.46	-0.030678	2724.9	2018.8	0.17911	0.42892	0.57108	0.85785	0.99996	False
G0453_4521	G0453	71.958/76.589/70.226/52.024	81.264/54.167/99.338/55.679	66.988	70.247	0.067564	117.1	331.25	0.1791	0.57102	0.42898	0.85796	0.99996	True
G0273_2721	G0273	176.72/161.48/90.442/119.35	167.54/194.42/92.095/117.85	132.48	137.13	0.04934	1579.3	672.68	0.17906	0.57105	0.42895	0.85789	0.99996	True
G0674_6735	G0674	61.376/73.821/111.72/115.27	84.274/73.512/120.03/92.798	87.403	91.145	0.059804	743.26	436.68	0.17905	0.57105	0.42895	0.85791	0.99996	True
G0834_8340	G0834	123.81/134.72/115.98/125.47	106.35/158.63/101.41/122.49	124.82	120.32	-0.05256	59.228	632.29	0.17901	0.42896	0.57104	0.85793	0.99996	False
G0554_5531	G0554	35.979/46.138/70.226/95.887	49.16/50.298/76.573/72.383	57.829	60.846	0.072153	738.72	284.34	0.17892	0.57087	0.42913	0.85826	0.99996	True
G0451_4510	G0451	89.948/43.37/107.47/78.546	93.303/49.331/90.025/65.887	75.758	72.288	-0.066753	754.52	376.41	0.17889	0.42899	0.57101	0.85797	0.99996	False
G0057_569	G0057	149.21/168.87/175.56/186.67	187.61/180.88/136.59/201.37	169.52	174.79	0.04394	247.93	869.01	0.17888	0.57099	0.42901	0.85803	0.99996	True
G0548_5471	G0548	177.78/226.08/236.21/224.42	191.62/262.13/183.15/206.94	214.85	208.89	-0.040396	682.74	1111.6	0.17876	0.42906	0.57094	0.85813	0.99996	False
G0877_8769	G0877	48.678/38.756/69.162/34.682	39.127/53.2/55.878/30.623	46.126	43.446	-0.084459	240.81	224.83	0.17871	0.42848	0.57152	0.85697	0.99996	False
G0731_7307	G0731	211.64/164.25/170.24/150.97	234.76/189.58/122.1/185.6	172.89	178.21	0.043494	687.94	886.99	0.1787	0.57092	0.42908	0.85817	0.99996	True
G0978_9772	G0978	87.832/98.736/79.802/99.967	75.245/116.07/81.747/81.662	91.201	87.384	-0.061006	91.634	456.4	0.1787	0.42908	0.57092	0.85817	0.99996	False
G0891_8909	G0891	212.7/141.18/189.4/95.887	181.59/121.88/219.37/98.366	152.82	147.83	-0.047557	2766.8	780.27	0.17856	0.42914	0.57086	0.85828	0.99996	False
G0194_1938	G0194	97.356/89.508/119.17/79.566	93.303/95.76/100.37/77.95	95.342	91.439	-0.059668	284.94	477.95	0.17854	0.42914	0.57086	0.85829	0.99996	False
G0657_6565	G0657	24.339/53.52/37.241/43.863	31.101/60.938/35.182/40.831	38.198	40.623	0.086633	153.29	184.84	0.17843	0.56974	0.43026	0.86052	0.99996	True
G0595_5949	G0595	19.048/20.301/5.3201/48.963	26.085/20.313/5.1739/25.056	17.853	16.218	-0.13083	377.45	83.912	0.17843	0.41416	0.58584	0.82833	0.99996	False
G0320_3191	G0320	80.424/112.58/60.65/97.927	82.267/120.91/57.947/110.43	85.636	89.325	0.060157	509.46	427.51	0.17841	0.57079	0.42921	0.85841	0.99996	True
G0104_1033	G0104	31.746/27.683/21.281/11.221	17.055/28.051/23.8/12.992	21.412	19.616	-0.12051	83.334	101.34	0.17841	0.4195	0.5805	0.839	0.99996	False
G0272_2715	G0272	37.037/22.146/9.5762/46.923	50.163/42.56/9.3129/25.056	24.661	26.594	0.10474	294.22	117.35	0.17837	0.56583	0.43417	0.86834	0.99996	True
G0363_3628	G0363	91.006/69.207/51.073/97.927	84.274/84.152/46.565/114.14	74.92	78.36	0.063934	463.13	372.08	0.17834	0.57075	0.42925	0.8585	0.99996	True
G0560_5595	G0560	69.842/84.894/105.34/84.666	77.251/87.054/104.51/89.086	85.276	88.955	0.060239	213.74	425.64	0.17831	0.57075	0.42925	0.8585	0.99996	True
G0062_614	G0062	198.94/200.24/229.83/171.37	199.65/242.78/233.86/154.97	199.03	204.73	0.040557	571.7	1026.7	0.17798	0.57063	0.42937	0.85874	0.99996	True
G0727_7268	G0727	10.582/34.142/40.433/22.442	29.095/15.476/26.904/19.488	23.944	22.046	-0.11417	185.56	113.81	0.1779	0.42223	0.57777	0.84447	0.99996	False
G0601_6009	G0601	73.017/56.289/91.506/92.827	73.238/65.774/94.164/91.87	76.869	80.347	0.063031	302.43	382.14	0.17789	0.57058	0.42942	0.85884	0.99996	True
G0012_120	G0012	95.239/76.589/61.714/59.164	106.35/84.152/64.156/55.679	71.84	75.196	0.064987	277.77	356.21	0.17782	0.57054	0.42946	0.85892	0.99996	True
G0091_901	G0091	302.65/261.14/308.57/272.36	259.84/290.18/302.15/264.47	285.48	278.61	-0.035019	530.77	1493.6	0.17776	0.42945	0.57055	0.85891	0.99996	False
G0576_5754	G0576	137.57/182.71/235.15/206.05	177.58/170.24/246.28/183.74	186.81	192.32	0.041689	1716.2	961.31	0.17759	0.57048	0.42952	0.85904	0.99996	True
G0734_7335	G0734	228.57/257.45/318.14/195.85	252.82/221.5/296.98/198.59	246.08	239.73	-0.037553	2717.2	1280	0.17744	0.42958	0.57042	0.85916	0.99996	False
G0437_4366	G0437	41.27/48.906/87.25/86.706	42.137/59.971/94.164/77.95	62.517	65.631	0.069057	611.18	308.32	0.17736	0.57031	0.42969	0.85938	0.99996	True
G0909_9089	G0909	113.23/87.663/88.314/71.405	104.34/88.989/96.234/82.59	88.949	92.685	0.058723	299.79	444.7	0.1772	0.57032	0.42968	0.85936	0.99996	True
G0709_7085	G0709	16.931/42.447/32.985/24.482	22.072/30.953/50.704/22.272	27.607	29.642	0.099146	124.3	131.94	0.17717	0.5668	0.4332	0.86641	0.99996	True
G0959_9585	G0959	94.181/93.199/42.561/69.365	97.316/82.218/47.599/81.662	71.354	74.682	0.064887	610.43	353.7	0.17698	0.57021	0.42979	0.85959	0.99996	True
G0038_373	G0038	112.17/130.11/102.15/130.57	104.34/148.96/84.851/127.13	118.12	113.79	-0.05335	196.43	597.06	0.17698	0.42976	0.57024	0.85952	0.99996	False
G0646_6451	G0646	149.21/239.92/189.4/207.07	118.38/269.87/227.65/171.68	193.57	187.98	-0.042049	1438.6	997.48	0.17697	0.42977	0.57023	0.85953	0.99996	False
G0504_5038	G0504	13.757/24.915/29.793/25.502	19.062/20.313/20.695/23.2	22.595	20.765	-0.11646	47.918	107.16	0.17677	0.42144	0.57856	0.84288	0.99996	False
G0644_6435	G0644	47.62/72.898/103.21/82.626	52.17/65.774/78.643/90.942	73.767	70.386	-0.066751	543.28	366.13	0.17667	0.42985	0.57015	0.8597	0.99996	False
G0896_8954	G0896	142.86/121.8/178.76/156.07	166.54/115.1/155.22/185.6	148.44	153.3	0.046178	572.65	757.02	0.17666	0.57011	0.42989	0.85978	0.99996	True
G0071_709	G0071	42.329/90.431/63.842/81.606	49.16/90.923/54.843/66.815	66.83	63.619	-0.06997	461.52	330.44	0.17666	0.42982	0.57018	0.85964	0.99996	False
G0192_1917	G0192	47.62/56.289/55.329/54.064	31.101/44.494/84.851/54.751	53.213	50.36	-0.077987	15.316	260.81	0.17665	0.42961	0.57039	0.85923	0.99996	False
G0261_2609	G0261	46.561/81.203/101.08/53.044	49.16/72.545/108.65/63.103	67.106	70.323	0.066601	657.66	331.86	0.17663	0.57005	0.42995	0.85989	0.99996	True
G0301_3008	G0301	105.82/73.821/38.305/87.726	119.39/68.676/44.495/86.302	71.587	74.914	0.064657	848.38	354.9	0.17661	0.57006	0.42994	0.85988	0.99996	True
G0777_7768	G0777	184.13/135.65/143.64/175.45	151.49/128.65/173.84/163.32	158.4	153.37	-0.046197	562.76	809.86	0.17651	0.42995	0.57005	0.85989	0.99996	False
G0251_2503	G0251	110.05/38.756/47.881/103.03	105.34/40.625/55.878/72.383	67.739	64.507	-0.069462	1423.4	335.11	0.17651	0.42989	0.57011	0.85977	0.99996	False
G0562_5616	G0562	71.958/96.89/63.842/84.666	59.192/113.17/86.921/77.022	78.352	81.837	0.062006	211.65	389.8	0.17651	0.57004	0.42996	0.85993	0.99996	True
G0266_2653	G0266	64.551/76.589/45.753/49.984	57.186/69.643/43.46/52.895	57.989	55.009	-0.074798	200.95	285.16	0.1765	0.42978	0.57022	0.85957	0.99996	False
G0311_3105	G0311	91.006/143.03/113.85/109.15	126.41/119.94/138.66/89.086	112.78	116.99	0.05242	467.82	569.04	0.17649	0.57004	0.42996	0.85991	0.99996	True
G0615_6145	G0615	30.688/11.996/11.704/10.201	27.088/15.476/16.556/9.2798	14.488	15.938	0.12916	98.264	67.555	0.17649	0.5526	0.4474	0.89479	0.99996	True
G0973_9729	G0973	88.89/36.911/80.866/56.104	100.33/27.084/64.156/69.599	62.121	59.032	-0.07238	579.91	306.29	0.17648	0.42985	0.57015	0.85969	0.99996	False
