"","Gene","pos.pvalue","pos.fdr","neg.pvalue","neg.fdr","p.value.twosides"
"661","G0661",0.436411995926111,0.945167720913825,0.730600661820773,0.996407952286726,0.872823991852223
"662","G0662",0.647119357766203,0.968582725317211,0.205236806559793,0.996407952286726,0.410473613119587
"663","G0663",0.694990940855839,0.976504786225834,0.370331938170644,0.996407952286726,0.740663876341288
"664","G0664",0.0668719685673382,0.945167720913825,0.72564814103603,0.996407952286726,0.133743937134676
"665","G0665",0.851805274234765,0.985537721009132,0.429521946944169,0.996407952286726,0.859043893888338
"666","G0666",0.344721431190964,0.945167720913825,0.738874315049333,0.996407952286726,0.689442862381928
"667","G0667",0.135568728959991,0.945167720913825,0.908741326390639,0.996407952286726,0.271137457919983
"668","G0668",0.566275561917689,0.958165079386953,0.627295432239597,0.996407952286726,1
"669","G0669",0.815197147523202,0.985537721009132,0.217997052714257,0.996407952286726,0.435994105428514
"670","G0670",0.325436733707086,0.945167720913825,0.679847423846586,0.996407952286726,0.650873467414173
"671","G0671",0.47328885687265,0.945167720913825,0.361241552200276,0.996407952286726,0.722483104400551
"672","G0672",0.490792757778059,0.945167720913825,0.819090143397906,0.996407952286726,0.981585515556118
"673","G0673",0.00698487874170062,0.776511701955129,0.987256431707496,0.997035038492919,0.0139697574834012
"674","G0674",0.368372210251421,0.945167720913825,0.864234203832235,0.996407952286726,0.736744420502842
"675","G0675",0.622556062178898,0.968582725317211,0.527262834148286,0.996407952286726,1
"676","G0676",0.745636056939934,0.985537721009132,0.0583374160497486,0.996407952286726,0.116674832099497
"677","G0677",0.318859615420254,0.945167720913825,0.0739880835618698,0.996407952286726,0.14797616712374
"678","G0678",0.579475685161981,0.961431910526788,0.603037886824752,0.996407952286726,1
"679","G0679",0.464129123986652,0.945167720913825,0.318688183177325,0.996407952286726,0.637376366354649
"680","G0680",0.542950459626336,0.956482474724629,0.639115307776964,0.996407952286726,1
"681","G0681",0.53282332015512,0.953172307969804,0.810608644928873,0.996407952286726,1
"682","G0682",0.0830377335159693,0.945167720913825,0.502363972328098,0.996407952286726,0.166075467031939
"683","G0683",0.621982664577956,0.968582725317211,0.278330282211571,0.996407952286726,0.556660564423142
"684","G0684",0.234674715124458,0.945167720913825,0.769719168260473,0.996407952286726,0.469349430248917
"685","G0685",0.4183446432085,0.945167720913825,0.477013317825203,0.996407952286726,0.836689286417001
"686","G0686",0.339408604475418,0.945167720913825,0.383253128310603,0.996407952286726,0.678817208950837
"687","G0687",0.774119498166333,0.985537721009132,0.588239977633789,0.996407952286726,1
"688","G0688",0.0703332081723687,0.945167720913825,0.966419955390651,0.996407952286726,0.140666416344737
"689","G0689",1,1,0,0,0
"690","G0690",0.894271299506193,0.985537721009132,0.201088789388131,0.996407952286726,0.402177578776261
"691","G0691",0.38457904450021,0.945167720913825,0.649606147235952,0.996407952286726,0.76915808900042
"692","G0692",0.567811341491486,0.958795148559808,0.0400598650779127,0.996407952286726,0.0801197301558254
"693","G0693",0.728687968842987,0.985537721009132,0.477404919083966,0.996407952286726,0.954809838167932
"694","G0694",0.523675789755881,0.947984927013935,0.723018984026177,0.996407952286726,1
"695","G0695",0.268092038073366,0.945167720913825,0.764328020729439,0.996407952286726,0.536184076146732
"696","G0696",0.802670715534934,0.985537721009132,0.387473837855954,0.996407952286726,0.774947675711908
"697","G0697",0.640458158066164,0.968582725317211,0.12274503600358,0.996407952286726,0.24549007200716
"698","G0698",0.477660050851615,0.945167720913825,0.30310191210054,0.996407952286726,0.60620382420108
"699","G0699",0.401921212418953,0.945167720913825,0.849202375507144,0.996407952286726,0.803842424837907
"700","G0700",0.409332888046409,0.945167720913825,0.547564715048204,0.996407952286726,0.818665776092818
"701","G0701",0.0555878314256117,0.945167720913825,0.83189333586373,0.996407952286726,0.111175662851223
"702","G0702",0.349723135935752,0.945167720913825,0.0807994831340176,0.996407952286726,0.161598966268035
"703","G0703",0.93170951127591,0.986980414487192,0.0509987579321322,0.996407952286726,0.101997515864264
"704","G0704",0.830569252947777,0.985537721009132,0.083155614159153,0.996407952286726,0.166311228318306
"705","G0705",0.229014974364221,0.945167720913825,0.653996849476625,0.996407952286726,0.458029948728441
"706","G0706",0.903158976750988,0.985537721009132,0.242307582487053,0.996407952286726,0.484615164974106
"707","G0707",0.38797623306212,0.945167720913825,0.294986748745563,0.996407952286726,0.589973497491125
"708","G0708",0.0410174009404871,0.945167720913825,0.939235138007215,0.996407952286726,0.0820348018809742
"709","G0709",0.589292012525007,0.967654335049143,0.37596763751609,0.996407952286726,0.75193527503218
"710","G0710",0.403488263557312,0.945167720913825,0.756585050193738,0.996407952286726,0.806976527114624
"711","G0711",0.910986718695061,0.985537721009132,0.18855094700207,0.996407952286726,0.37710189400414
"712","G0712",0.600278294007517,0.967654335049143,0.128027703960568,0.996407952286726,0.256055407921136
"713","G0713",0.594852743870244,0.967654335049143,0.511438788917104,0.996407952286726,1
"714","G0714",0.191691618180136,0.945167720913825,0.925597395578317,0.996407952286726,0.383383236360272
"715","G0715",0.00680633023934374,0.776511701955129,0.887736787050983,0.996407952286726,0.0136126604786875
"716","G0716",0.90002211912283,0.985537721009132,0.12667371646343,0.996407952286726,0.253347432926859
"717","G0717",0.487094753776417,0.945167720913825,0.455886939847311,0.996407952286726,0.911773879694622
"718","G0718",0.603834037843539,0.967682752954389,0.378636969460306,0.996407952286726,0.757273938920611
"719","G0719",0.788831108661125,0.985537721009132,0.110705547756199,0.996407952286726,0.221411095512399
"720","G0720",0.399892720328939,0.945167720913825,0.801671081984732,0.996407952286726,0.799785440657877
"721","G0721",0.858799556477547,0.985537721009132,0.410490607986612,0.996407952286726,0.820981215973223
"722","G0722",0.623895596198018,0.968582725317211,0.574479845899902,0.996407952286726,1
"723","G0723",0.386067525498286,0.945167720913825,0.27837723318336,0.996407952286726,0.55675446636672
"724","G0724",0.994294861570528,1,0.022239933258284,0.963038265542577,0.044479866516568
"725","G0725",0.178509274036332,0.945167720913825,0.916262953015558,0.996407952286726,0.357018548072664
"726","G0726",0.80940872553558,0.985537721009132,0.30447690968543,0.996407952286726,0.60895381937086
"727","G0727",0.768394414352262,0.985537721009132,0.093300601041128,0.996407952286726,0.186601202082256
"728","G0728",0.14577574383219,0.945167720913825,0.908116504541121,0.996407952286726,0.291551487664379
"729","G0729",0.134314588061058,0.945167720913825,0.579277734789133,0.996407952286726,0.268629176122117
"730","G0730",0.9754226095604,1,0.0429635263245434,0.996407952286726,0.0859270526490867
"731","G0731",0.39053908714351,0.945167720913825,0.112921991540011,0.996407952286726,0.225843983080023
"732","G0732",0.399672414779863,0.945167720913825,0.390836253456206,0.996407952286726,0.781672506912412
"733","G0733",0.901772886995348,0.985537721009132,0.249141286583618,0.996407952286726,0.498282573167236
"734","G0734",0.652610254009111,0.968582725317211,0.438866130254654,0.996407952286726,0.877732260509308
"735","G0735",0.477307608709735,0.945167720913825,0.820905120937573,0.996407952286726,0.95461521741947
"736","G0736",0.869788790977152,0.985537721009132,0.250786452561459,0.996407952286726,0.501572905122919
"737","G0737",0.606685526235306,0.968582725317211,0.439913695263476,0.996407952286726,0.879827390526952
"738","G0738",0.172565049812862,0.945167720913825,0.952064735857145,0.996407952286726,0.345130099625725
"739","G0739",0.877199886898993,0.985537721009132,0.0170002535837445,0.963038265542577,0.0340005071674889
"740","G0740",0.493935546479508,0.945167720913825,0.523883419147294,0.996407952286726,0.987871092959017
"741","G0741",0.539388421825322,0.956482474724629,0.589934061327691,0.996407952286726,1
"742","G0742",0.652616595075437,0.968582725317211,0.39678473942079,0.996407952286726,0.79356947884158
"743","G0743",0.0834987560734264,0.945167720913825,0.666298635913152,0.996407952286726,0.166997512146853
"744","G0744",0.861851264367062,0.985537721009132,0.439804193012015,0.996407952286726,0.87960838602403
"745","G0745",0.703836340476696,0.97984977018688,0.573359762557987,0.996407952286726,1
"746","G0746",0.833619708451997,0.985537721009132,0.332576505992149,0.996407952286726,0.665153011984297
"747","G0747",0.65140635092357,0.968582725317211,0.553768608574682,0.996407952286726,1
"748","G0748",0.726911795258061,0.985537721009132,0.187002441412138,0.996407952286726,0.374004882824276
"749","G0749",0.368312238134898,0.945167720913825,0.295962233705357,0.996407952286726,0.591924467410713
"750","G0750",0.797529925054531,0.985537721009132,0.440047363777399,0.996407952286726,0.880094727554797
"751","G0751",0.338984177805893,0.945167720913825,0.544261971588242,0.996407952286726,0.677968355611786
"752","G0752",0.624866903817677,0.968582725317211,0.150489489252668,0.996407952286726,0.300978978505335
"753","G0753",0.404344380962133,0.945167720913825,0.737511122974383,0.996407952286726,0.808688761924267
"754","G0754",0.498116912618158,0.945167720913825,0.411854447627055,0.996407952286726,0.82370889525411
"755","G0755",0.821017350080196,0.985537721009132,0.268549424684323,0.996407952286726,0.537098849368646
"756","G0756",0.130942870018271,0.945167720913825,0.702164866138593,0.996407952286726,0.261885740036543
"757","G0757",0.0430063707095244,0.945167720913825,0.982379114400126,0.997035038492919,0.0860127414190488
"758","G0758",0.245330972613317,0.945167720913825,0.915599619828524,0.996407952286726,0.490661945226635
"759","G0759",0.702540301161271,0.97983305601293,0.496665566754236,0.996407952286726,0.993331133508472
"760","G0760",0.121071052123137,0.945167720913825,0.551986605439164,0.996407952286726,0.242142104246274
"761","G0761",0.0126854995130213,0.845699967534756,0.912444961578564,0.996407952286726,0.0253709990260427
"762","G0762",0.796228304078346,0.985537721009132,0.0678727400134683,0.996407952286726,0.135745480026937
"763","G0763",0.328661532628535,0.945167720913825,0.418820177349238,0.996407952286726,0.657323065257071
"764","G0764",0.543527010841374,0.956482474724629,0.316663873717759,0.996407952286726,0.633327747435518
"765","G0765",0.0399624364897668,0.945167720913825,0.975743249492423,0.997035038492919,0.0799248729795337
"766","G0766",0.849005886218848,0.985537721009132,0.417510121921066,0.996407952286726,0.835020243842131
"767","G0767",0.337141688976699,0.945167720913825,0.738420196815319,0.996407952286726,0.674283377953398
"768","G0768",0.58070487395818,0.961431910526788,0.276834201500117,0.996407952286726,0.553668403000234
"769","G0769",0.488111605608149,0.945167720913825,0.641038272745001,0.996407952286726,0.976223211216297
"770","G0770",0.850583690332976,0.985537721009132,0.174003317225318,0.996407952286726,0.348006634450636
"771","G0771",0.513044789467338,0.945167720913825,0.790481393558359,0.996407952286726,1
"772","G0772",0.40860615771019,0.945167720913825,0.503913569997403,0.996407952286726,0.817212315420381
"773","G0773",0.116795684291399,0.945167720913825,0.948542684119171,0.996407952286726,0.233591368582798
"774","G0774",0.878864750170454,0.985537721009132,0.086628060301019,0.996407952286726,0.173256120602038
"775","G0775",0.911315570168304,0.985537721009132,0.111406226354276,0.996407952286726,0.222812452708552
"776","G0776",0.42212494615798,0.945167720913825,0.519879808561505,0.996407952286726,0.84424989231596
"777","G0777",0.892366171002034,0.985537721009132,0.236784841741785,0.996407952286726,0.473569683483571
"778","G0778",0.692372898634578,0.976504786225834,0.491999132752052,0.996407952286726,0.983998265504105
"779","G0779",0.895740131672192,0.985537721009132,0.074090639759813,0.996407952286726,0.148181279519626
"780","G0780",0.850253884763755,0.985537721009132,0.197511730755852,0.996407952286726,0.395023461511705
"781","G0781",0.411306851063632,0.945167720913825,0.842309092485519,0.996407952286726,0.822613702127263
"782","G0782",0.639657552859958,0.968582725317211,0.634616968937859,0.996407952286726,1
"783","G0783",0.544241812245955,0.956482474724629,0.18058070777353,0.996407952286726,0.36116141554706
"784","G0784",0.257506126324826,0.945167720913825,0.491584789596432,0.996407952286726,0.515012252649651
"785","G0785",0.800518990792128,0.985537721009132,0.442113830676023,0.996407952286726,0.884227661352047
"786","G0786",0.553686995512653,0.956482474724629,0.669211665378196,0.996407952286726,1
"787","G0787",0.528027604346762,0.947984927013935,0.663375681589456,0.996407952286726,1
"788","G0788",0.936767876331493,0.989195223158916,0.260190541983018,0.996407952286726,0.520381083966037
"789","G0789",0.844168354667366,0.985537721009132,0.268280542567006,0.996407952286726,0.536561085134012
"790","G0790",0.134103432710589,0.945167720913825,0.632352135996003,0.996407952286726,0.268206865421178
"791","G0791",0.0765964072562553,0.945167720913825,0.8962280447779,0.996407952286726,0.153192814512511
"792","G0792",0.768311181207971,0.985537721009132,0.146355631757669,0.996407952286726,0.292711263515338
"793","G0793",0.758965623493437,0.985537721009132,0.337648636580553,0.996407952286726,0.675297273161105
"794","G0794",0.219971501120331,0.945167720913825,0.912070873475813,0.996407952286726,0.439943002240662
"795","G0795",0.101610514703321,0.945167720913825,0.550082561393133,0.996407952286726,0.203221029406641
"796","G0796",0.0780196201311186,0.945167720913825,0.282391635565864,0.996407952286726,0.156039240262237
"797","G0797",0.843111603153186,0.985537721009132,0.177523370428922,0.996407952286726,0.355046740857843
"798","G0798",0.450520576767798,0.945167720913825,0.646279610941521,0.996407952286726,0.901041153535596
"799","G0799",0.247491041878723,0.945167720913825,0.61984453902058,0.996407952286726,0.494982083757445
"800","G0800",0.177264784030742,0.945167720913825,0.557355439675366,0.996407952286726,0.354529568061485
"801","G0801",0.0225706529868503,0.945167720913825,0.995917231844346,0.999091902931357,0.0451413059737007
"802","G0802",0.0423809589317783,0.945167720913825,0.554144550299978,0.996407952286726,0.0847619178635566
"803","G0803",0.639058746209086,0.968582725317211,0.255795884925421,0.996407952286726,0.511591769850842
"804","G0804",0.245140768248308,0.945167720913825,0.377759135949356,0.996407952286726,0.490281536496616
"805","G0805",0.11870437134299,0.945167720913825,0.92388161875802,0.996407952286726,0.237408742685979
"806","G0806",0.0872523938547007,0.945167720913825,0.796988185871188,0.996407952286726,0.174504787709401
"807","G0807",0.35288843202197,0.945167720913825,0.485432533407701,0.996407952286726,0.70577686404394
"808","G0808",0.899572876131426,0.985537721009132,0.0772086752359277,0.996407952286726,0.154417350471855
"809","G0809",0.501667732146544,0.945167720913825,0.766779941503855,0.996407952286726,1
"810","G0810",0.985851355005228,1,0.0696995958235945,0.996407952286726,0.139399191647189
"811","G0811",0.00776511701955129,0.776511701955129,0.986541498231818,0.997035038492919,0.0155302340391026
"812","G0812",0.434919865765224,0.945167720913825,0.705119403998854,0.996407952286726,0.869839731530448
"813","G0813",0.740650869958575,0.985537721009132,0.526373948245851,0.996407952286726,1
"814","G0814",0.973163658185389,1,0.0330445479765806,0.996407952286726,0.0660890959531613
"815","G0815",0.13406122072828,0.945167720913825,0.974082157531027,0.997035038492919,0.268122441456561
"816","G0816",0.518005664643413,0.947309833921117,0.42390350382828,0.996407952286726,0.847807007656559
"817","G0817",0.760874615280481,0.985537721009132,0.247090832442178,0.996407952286726,0.494181664884357
"818","G0818",0.97071534929731,1,0.121500025271154,0.996407952286726,0.243000050542308
"819","G0819",0.658960723045186,0.968582725317211,0.542972469001765,0.996407952286726,1
"820","G0820",0.697984381942733,0.976735723137574,0.497522971359357,0.996407952286726,0.995045942718713
"821","G0821",0.512139682269649,0.945167720913825,0.806926958993637,0.996407952286726,1
"822","G0822",0.418900997753646,0.945167720913825,0.836073051128627,0.996407952286726,0.837801995507293
"823","G0823",0.664447749567607,0.968582725317211,0.427802682741524,0.996407952286726,0.855605365483048
"824","G0824",0.504961930326622,0.945167720913825,0.380512509463331,0.996407952286726,0.761025018926661
"825","G0825",0.505444213815499,0.945167720913825,0.643828901460796,0.996407952286726,1
"826","G0826",0.156063088554146,0.945167720913825,0.444722197017746,0.996407952286726,0.312126177108293
"827","G0827",0.115053791295801,0.945167720913825,0.947365149386783,0.996407952286726,0.230107582591602
"828","G0828",0.791458696370695,0.985537721009132,0.267421638782435,0.996407952286726,0.534843277564871
"829","G0829",0.259648375957175,0.945167720913825,0.315220851817343,0.996407952286726,0.519296751914351
"830","G0830",0.758873698431525,0.985537721009132,0.567731835838441,0.996407952286726,1
"831","G0831",0.286212366687051,0.945167720913825,0.873125852457971,0.996407952286726,0.572424733374101
"832","G0832",0.50377285421678,0.945167720913825,0.633013282925009,0.996407952286726,1
"833","G0833",0.123434112716203,0.945167720913825,0.312066024016168,0.996407952286726,0.246868225432407
"834","G0834",0.32866101140017,0.945167720913825,0.519696878593937,0.996407952286726,0.657322022800339
"835","G0835",0.326845684366306,0.945167720913825,0.553994452831394,0.996407952286726,0.653691368732613
"836","G0836",0.205532496473944,0.945167720913825,0.94227150682175,0.996407952286726,0.411064992947887
"837","G0837",0.891357082330283,0.985537721009132,0.291847967194709,0.996407952286726,0.583695934389419
"838","G0838",0.419305592887496,0.945167720913825,0.547049731167163,0.996407952286726,0.838611185774993
"839","G0839",0.84405041843895,0.985537721009132,0.246637412134235,0.996407952286726,0.49327482426847
"840","G0840",0.55405970995517,0.956482474724629,0.677750191053427,0.996407952286726,1
"841","G0841",0.0923934503636551,0.945167720913825,0.977780679387923,0.997035038492919,0.18478690072731
"842","G0842",0.929394813957685,0.98661869846888,0.138267290718098,0.996407952286726,0.276534581436197
