gene,p_value,t_value,df
G0188,0.9826893601277613,-0.02169818589310877,6667.877363000565
G0189,0.9885770116156698,-0.014317782629664016,5109.338409608116
G0190,0.8932210678545809,0.13423394127332314,7761.7153289423
G0191,0.909691566302099,0.11343156319252304,7231.073680900636
G0192,0.87050602267015,0.16302011401122116,9618.223548443895
G0193,0.9107726782861785,0.11206689749047496,9719.246502127473
G0194,0.9309808206987933,0.08661353317684398,8209.610940682478
G0195,0.8822274078210763,-0.14815314205241506,5434.01346917761
G0196,0.9552684224758248,-0.05609388288209265,7973.570740650207
G0197,0.9252272230027399,0.09385369702716923,10179.22738820941
G0198,0.9943527597917139,0.007077987004421851,10928.615203076199
G0199,0.9998500969848401,-0.0001878812579617306,8256.60601730784
G0200,0.8598150532155204,0.17661473629304347,8863.767096837151
G0201,0.899976149251889,-0.1256970746749026,5701.702218944041
G0202,0.9525671744382698,-0.05948435506027774,14013.912185891537
G0203,0.6155356516428245,0.5022059869543788,8493.087230055815
G0204,0.8787720385829885,0.15252927838989525,12120.940895224318
G0205,0.903364343410141,0.1214209466775236,3632.0237085401195
G0206,0.836082579963618,0.2069142437525464,7329.655123202281
G0207,0.7796226766827852,0.27982206137450744,6689.473543253746
G0208,0.7000850134289713,0.38522011698905356,7676.234978555352
G0209,0.8816256620639791,0.14891425204155495,6876.056189922352
G0210,0.8350448317988404,-0.20824378290013232,6831.699864317687
G0211,0.8874206675595282,0.14157329740960828,7905.16146475218
G0212,0.9092491690816877,0.11398942189714237,7652.853545048083
G0213,0.9789736606584203,-0.026356456149234632,8273.882510107265
G0214,0.8466733669732109,0.19337029672432895,8944.244353039918
G0215,0.9932067917789942,-0.008514392408455439,8013.455206056405
G0216,0.9760331508354199,-0.030043652112176043,6578.860022257727
G0217,0.9961822496854453,-0.004784940964928276,14541.46774820849
G0218,0.9727110163573982,0.03420949301858602,7423.663484086772
