gene,sgRNA,p_value,t_value,grho,rho,df
G0525,G0525_5242,0.9498766433743397,-0.06286372606405147,0.4434754252433777,0.42003098130226135,7739.88848949073
G0525,G0525_5243,0.9196905681312482,-0.10082679294506972,0.4434754252433777,0.5013836622238159,7742.702737654253
G0525,G0525_5244,0.7341771709877238,-0.3395906902501315,0.4434754252433777,0.5120836496353149,5760.096005502278
G0525,G0525_5245,0.9774672810209428,0.02824524279362457,0.4434754252433777,0.44269633293151855,7742.671571563425
G0525,G0525_5246,0.9448110628904507,0.06922698760115428,0.4434754252433777,0.43482062220573425,6525.138215833983
G0525,G0525_5247,0.8272018641482719,-0.21829921262803723,0.4434754252433777,0.5109671950340271,7580.444643142955
G0525,G0525_5248,0.9859518939768441,-0.017608169913469,0.4434754252433777,0.33105650544166565,7721.526153769439
G0525,G0525_5249,0.9579061202729715,0.0527835236019098,0.4434754252433777,0.3808586597442627,6091.476627687779
G0525,G0525_5250,0.9457275623555721,-0.06807580074828912,0.4434754252433777,0.44341662526130676,5999.681257070983
G0526,G0526_5251,0.8998181845753239,-0.12589460109749195,0.443920761346817,0.5240887999534607,8948.666901255792
G0526,G0526_5252,0.7338600856612132,0.34000697590007334,0.443920761346817,0.5068638920783997,8104.712507426724
G0526,G0526_5253,0.9290307027975995,0.08906745465557106,0.443920761346817,0.44021496176719666,7429.225318843465
G0526,G0526_5254,0.9955654589657319,0.0055580536907918685,0.443920761346817,0.45803534984588623,9135.322860813818
G0526,G0526_5255,0.8412335021213679,-0.20032183477887539,0.443920761346817,0.49354881048202515,8826.476060858326
G0526,G0526_5256,0.8237843225590289,0.22268678026403857,0.443920761346817,0.46737992763519287,9038.668382660819
G0526,G0526_5257,0.9864751539742049,-0.016952201199449464,0.443920761346817,0.22299867868423462,8334.512622971526
G0526,G0526_5258,0.9889372482535528,0.013865945972373412,0.443920761346817,0.4359480142593384,8699.497245971117
G0526,G0526_5259,0.981251034125487,-0.023501357464587307,0.443920761346817,0.4811389446258545,6911.513948899845
G0526,G0526_5260,0.980821696208592,0.024039405373464905,0.443920761346817,0.4089902639389038,9235.182138156355
G0527,G0527_5261,0.9757603767841418,-0.03038576823625832,0.403400182723999,0.456150621175766,6175.747874639955
G0527,G0527_5262,0.9402985579702676,-0.07489755021487461,0.403400182723999,0.23828981816768646,6423.580017707844
G0527,G0527_5263,0.807781139166285,-0.24329942094767493,0.403400182723999,0.48198795318603516,6492.632034976595
G0527,G0527_5264,0.9519521143305063,-0.06025839894664505,0.403400182723999,0.4137643575668335,5281.743390391496
G0527,G0527_5265,0.9768501962331055,-0.029019586741599594,0.403400182723999,0.3995087146759033,4719.437123915334
G0527,G0527_5266,0.9345464873191882,-0.0821292058168836,0.403400182723999,0.3982140123844147,6526.184435166524
G0527,G0527_5267,0.7900436066953036,-0.2662655003059907,0.403400182723999,0.4418512284755707,6191.963237197283
G0527,G0527_5268,0.9386142146829652,-0.07701532702438058,0.403400182723999,0.34016433358192444,5382.092754302039
G0527,G0527_5269,0.8606270212695899,-0.1755844860759983,0.403400182723999,0.4025365114212036,5362.128576296901
G0527,G0527_5270,0.7869565125506113,-0.27027646983851966,0.403400182723999,0.46153461933135986,6234.406937926806
G0528,G0528_5271,0.9589584516461014,-0.05146234966934361,0.4740211069583893,0.4254387617111206,7619.698458918768
G0528,G0528_5272,0.8918282730230573,-0.13599580813844514,0.4740211069583893,0.46674391627311707,7442.223838166763
G0528,G0528_5273,0.8317664214759668,-0.21244392900269035,0.4740211069583893,0.46283841133117676,7591.115656694166
G0528,G0528_5274,0.9333127405508377,0.08368040651731413,0.4740211069583893,0.5262510776519775,7597.195841757342
G0528,G0528_5275,0.976938570867421,-0.02890818985090142,0.4740211069583893,0.5285453796386719,7619.712098322953
G0528,G0528_5276,0.930906746982056,-0.08670848131674633,0.4740211069583893,0.47223541140556335,4942.66392790949
G0528,G0528_5277,0.9837224131058542,-0.02040309459040751,0.4740211069583893,0.34527403116226196,6808.540541542118
G0528,G0528_5278,0.9832594822115,0.020983385418625027,0.4740211069583893,0.486022412776947,7306.956792041983
G0528,G0528_5279,0.9514502331215351,0.06088776587380808,0.4740211069583893,0.4138394892215729,7417.752445186928
G0528,G0528_5280,0.6148447488650932,0.5031954774084847,0.4740211069583893,0.6130223274230957,6189.838406145614
G0529,G0529_5281,0.7702842710966333,0.29200803811049847,0.43820396065711975,0.5084637403488159,15970.475140382985
G0529,G0529_5282,0.8679667928631165,0.16624380820788642,0.43820396065711975,0.3735407888889313,19680.58576136657
G0529,G0529_5283,0.898292027144798,0.1278210335654253,0.43820396065711975,0.4232083261013031,18062.957043269715
G0529,G0529_5284,0.728536259269341,0.34708086875691263,0.43820396065711975,0.5342857837677002,12828.06041405805
G0529,G0529_5285,0.8655835266341141,0.16927342066423762,0.43820396065711975,0.5045916438102722,17602.15593586409
G0529,G0529_5286,0.8903485139108138,0.1378651043266675,0.43820396065711975,0.34907931089401245,18702.08005537685
G0529,G0529_5287,0.7161782564442394,0.3635778467536305,0.43820396065711975,0.5032163858413696,15419.376839775505
G0529,G0529_5288,0.9408463509091809,0.07420713664902392,0.43820396065711975,0.41922616958618164,18941.07670707308
G0529,G0529_5289,0.7945695231325054,0.2603853300113424,0.43820396065711975,0.4246480166912079,18079.168028247015
G0529,G0529_5290,0.8820580049160722,0.14836274347099432,0.43820396065711975,0.3417796194553375,19891.333357594267
G0530,G0530_5291,0.900338609133041,0.12523636076092878,0.41865435242652893,0.42385199666023254,11563.679160268579
G0530,G0530_5292,0.7045983396306332,0.37913091605656357,0.41865435242652893,0.5153260827064514,10467.347329891521
G0530,G0530_5293,0.8543673056879713,0.18355348950356268,0.41865435242652893,0.41258612275123596,10475.195452564803
G0530,G0530_5294,0.8215401658808172,0.22556952914360764,0.41865435242652893,0.3706088960170746,11748.303509966456
G0530,G0530_5295,0.8603585414805699,0.17592156415766583,0.41865435242652893,0.24061070382595062,11962.825602397463
G0530,G0530_5296,0.7562073723078779,0.310472600459358,0.41865435242652893,0.4170021712779999,11194.67856795046
G0530,G0530_5297,0.9342460362399692,0.08250567132224582,0.41865435242652893,0.39814114570617676,11567.079626529177
G0530,G0530_5298,0.9104416337207382,0.11248389155337285,0.41865435242652893,0.4492238461971283,11930.94232985565
G0530,G0530_5299,0.8392931435758473,0.20280456528848329,0.41865435242652893,0.4255583584308624,7706.196634591687
G0530,G0530_5300,0.7267452140647364,0.349469312567532,0.41865435242652893,0.5336337089538574,8964.51932735617
G0531,G0531_5301,0.9033727588437315,0.12140658555225524,0.4119798243045807,0.39612242579460144,6491.175846968261
G0531,G0531_5302,0.9226067089883205,0.09715470522385947,0.4119798243045807,0.39077433943748474,6139.663131934147
G0531,G0531_5303,0.8212802116111741,0.22590809194862005,0.4119798243045807,0.47654128074645996,6317.7879881220615
G0531,G0531_5304,0.9419817180674117,0.07278248923969663,0.4119798243045807,0.36883723735809326,5793.407765289849
G0531,G0531_5305,0.8988962127079627,0.1270617275484034,0.4119798243045807,0.4824391305446625,5470.577478101179
G0531,G0531_5306,0.9975541001816577,0.003065642473249308,0.4119798243045807,0.3873378038406372,4886.144917586963
G0531,G0531_5307,0.9541899943701144,0.0574482035019529,0.4119798243045807,0.36563485860824585,6276.065381297895
G0531,G0531_5308,0.9253929674043684,0.09364636908571823,0.4119798243045807,0.3712136447429657,6484.4852282569345
G0531,G0531_5309,0.9106750225490485,0.11219160463356875,0.4119798243045807,0.44622108340263367,6366.657300025457
G0531,G0531_5310,0.8045297794098922,0.24749916068177535,0.4119798243045807,0.43467628955841064,6482.378057953859
G0532,G0532_5311,0.9950180429456723,0.006244220744559395,0.42839688062667847,0.3932810425758362,7001.521818687258
G0532,G0532_5312,0.8967835382141858,0.12972925992582746,0.42839688062667847,0.3925077021121979,8978.306754415771
G0532,G0532_5313,0.8682550671065035,0.16588036390151012,0.42839688062667847,0.3834131360054016,8454.508861930959
G0532,G0532_5314,0.914683028623585,0.10713712801675448,0.42839688062667847,0.29913192987442017,7578.66814080579
G0532,G0532_5315,0.9202867168657998,0.10007540066286738,0.42839688062667847,0.3858940899372101,8907.467924760207
G0532,G0532_5316,0.7703758727675802,-0.291895624217683,0.42839688062667847,0.561617910861969,6411.709716281592
G0532,G0532_5317,0.932347359819311,0.08489449583302822,0.42839688062667847,0.4149339497089386,8122.994379676187
G0532,G0532_5318,0.744244929505606,0.32625092588023374,0.42839688062667847,0.5164177417755127,6554.7916984103695
G0532,G0532_5319,0.6558735189973344,0.4456351687048463,0.42839688062667847,0.5706164836883545,7586.157686672331
G0532,G0532_5320,0.9978820352923421,-0.0026545798433469103,0.42839688062667847,0.3661547601222992,6530.859875233645
G0533,G0533_5321,0.8318644084957929,-0.21231689948237448,0.4402411878108978,0.462075412273407,9414.564078690926
G0533,G0533_5322,0.9214847368489503,-0.09856590505503487,0.4402411878108978,0.4134444296360016,11006.739365051699
G0533,G0533_5323,0.8840528378182748,-0.14583688589482335,0.4402411878108978,0.47155284881591797,10962.459689369263
G0533,G0533_5324,0.852441727973186,-0.18600926899207118,0.4402411878108978,0.42019015550613403,8907.862931088857
G0533,G0533_5325,0.9488566361964801,-0.06414423724498736,0.4402411878108978,0.3880678713321686,10190.97037693214
G0533,G0533_5326,0.7633902227327232,-0.3010403390492612,0.4402411878108978,0.5436224341392517,9646.19853208468
G0533,G0533_5327,0.9558118550819716,-0.05541139048739703,0.4402411878108978,0.4539808928966522,9765.156029332638
G0533,G0533_5328,0.9288387529492073,0.0893089818188132,0.4402411878108978,0.4387645125389099,7461.946083988986
G0533,G0533_5329,0.9704533431621456,-0.03704055387581736,0.4402411878108978,0.4297744929790497,10992.965674778985
G0533,G0533_5330,0.9317964759154931,-0.08558712892549555,0.4402411878108978,0.3809390366077423,9284.90663718141
G0534,G0534_5331,0.8776740506734975,-0.1539219980545827,0.46684637665748596,0.5001383423805237,11046.224580369255
G0534,G0534_5332,0.9773243761393859,-0.028424146607611542,0.46684637665748596,0.45641687512397766,11113.600209982005
G0534,G0534_5333,0.9391694026814525,0.0763161115928627,0.46684637665748596,0.4867986738681793,8506.805562581558
G0534,G0534_5334,0.9113480117717079,0.11134148429510332,0.46684637665748596,0.40123048424720764,9114.704572437304
G0534,G0534_5335,0.6254333067102382,-0.4881806703355863,0.46684637665748596,0.6438593864440918,9363.061116625226
G0534,G0534_5336,0.9260505573861346,-0.09281740316364624,0.46684637665748596,0.4277346134185791,9621.833452818171
G0534,G0534_5337,0.9493179309245994,0.06356514755267174,0.46684637665748596,0.4947783350944519,8779.437949601454
G0534,G0534_5338,0.9999971660886773,3.551878697374486e-06,0.46684637665748596,0.4015153646469116,9100.471474524153
G0534,G0534_5339,0.9049627590603704,-0.11939751601691379,0.46684637665748596,0.45422643423080444,10293.966573816226
G0534,G0534_5340,0.9420608807727093,0.07268163619767541,0.46684637665748596,0.40176525712013245,10245.988664083516
G0535,G0535_5341,0.9300004432512461,0.08784764964714434,0.4263956546783447,0.47032999992370605,6568.160750117774
G0535,G0535_5342,0.7745388913686868,-0.28645443172258367,0.4263956546783447,0.5502212047576904,6742.262280541368
G0535,G0535_5343,0.9948140605873972,0.006499918735406694,0.4263956546783447,0.47387075424194336,6207.300471753907
G0535,G0535_5344,0.9271100709076097,0.09148468936064594,0.4263956546783447,0.37334105372428894,7048.902130072239
G0535,G0535_5345,0.8937026472208673,0.13362618245663044,0.4263956546783447,0.35301071405410767,6018.131267194892
G0535,G0535_5346,0.9636539649188287,0.045570539317195784,0.4263956546783447,0.3896207809448242,6435.427514230453
G0535,G0535_5347,0.9216636110351362,0.09834185756381539,0.4263956546783447,0.40798279643058777,7117.3405464096395
G0535,G0535_5348,0.8972045584646786,0.12920008493213292,0.4263956546783447,0.4296247065067291,4968.669931770035
G0535,G0535_5349,0.8461735042251948,0.194010820943409,0.4263956546783447,0.3913400173187256,6465.186437931731
G0535,G0535_5350,0.8539829488170465,0.18404559987251687,0.4263956546783447,0.42461448907852173,7085.822342582366
G0536,G0536_5351,0.8662521232298923,0.1684271458966663,0.42462626099586487,0.2989063262939453,6995.12099390561
G0536,G0536_5352,0.8893744641501464,0.13910197976647168,0.42462626099586487,0.39872094988822937,5716.087963142192
G0536,G0536_5353,0.9041682207975692,0.12040230441386965,0.42462626099586487,0.4433387815952301,6442.070085220302
G0536,G0536_5354,0.8896738139314528,0.1387216888241542,0.42462626099586487,0.4152325689792633,7478.04210213346
G0536,G0536_5355,0.9493696529110418,0.06350100175304818,0.42462626099586487,0.473030686378479,6068.75152589636
G0536,G0536_5356,0.8290747534360041,0.21589615534100912,0.42462626099586487,0.48976898193359375,7266.928489329853
G0536,G0536_5357,0.9217042552348127,0.09829048067389282,0.42462626099586487,0.43923166394233704,7523.798199624675
G0536,G0536_5358,0.923682580192432,0.09579932131006932,0.42462626099586487,0.4736649692058563,7316.1045411167115
G0536,G0536_5359,0.9170361541061445,0.10417169731265354,0.42462626099586487,0.4274466335773468,6826.833432433497
G0536,G0536_5360,0.8582871216848422,0.17856132280915485,0.42462626099586487,0.38692137598991394,7299.36652115785
G0537,G0537_5361,0.6526943713951914,0.45004561979409197,0.43481478095054626,0.5381308794021606,5798.210008937315
G0537,G0537_5362,0.8161260718242316,0.23254039331942006,0.43481478095054626,0.46898090839385986,6137.045365514256
G0537,G0537_5363,0.9346536840588751,0.0819945109692633,0.43481478095054626,0.4061536490917206,6297.729633890974
G0537,G0537_5364,0.6449984557091997,0.4607532484112376,0.43481478095054626,0.5844243168830872,4392.828449027721
